ID,Módulo,Caso de prueba,Descripción,Precondiciones,Pasos,Datos de entrada,Resultado esperado en el front,Resultado obtenido,Estado
CP-14,Pedidos,Ver pedidos de la mesa,Verificar que se listan todos los pedidos activos de una mesa,"Mesa con pedidos en estado Pendiente","1. Seleccionar una mesa ocupada · 2. Ver sección de pedidos","—","Se muestra la lista de pedidos con el nombre del plato, precio y estado de cada uno","—",Pendiente
CP-15,Pedidos,Ver detalle de un pedido,Verificar que se puede ver la información de un pedido específico,"Pedido existente","1. Ir a la lista de pedidos · 2. Seleccionar un pedido","id: 1","Se muestra el detalle del pedido: plato, mesa, estado y fecha","—",Pendiente
CP-16,Pedidos,Acceder a pedido inexistente,Verificar que se muestra error al acceder a un pedido que no existe,"Navegación directa por URL","1. Ingresar manualmente a la URL de un pedido con id inválido","id: 9999","Se muestra un mensaje de error o pantalla de 'Pedido no encontrado'","—",Pendiente
CP-17,Pedidos,Ver historial de pedidos de una mesa,Verificar que se pueden ver todos los pedidos (activos e históricos) de una mesa,"Mesa con pedidos en distintos estados","1. Seleccionar una mesa · 2. Ver sección de historial de pedidos","mesaId: 1","Se muestra la lista completa de pedidos con su estado (Pendiente / Completado)","—",Pendiente
CP-18,Pedidos,Marcar pedido como completado,Verificar que el estado del pedido cambia visualmente al completarlo,"Pedido en estado Pendiente","1. Seleccionar un pedido · 2. Hacer clic en 'Completar' o cambiar estado · 3. Confirmar","estado: Completado","El pedido cambia su indicador a 'Completado' en la lista","—",Pendiente
CP-19,Pedidos,Eliminar pedido y verificar consumo,Verificar que al eliminar un pedido el consumo de la mesa se reduce,"Mesa con 2 pedidos activos","1. Seleccionar un pedido · 2. Hacer clic en 'Eliminar' · 3. Confirmar · 4. Ver detalle de la mesa","id del pedido a eliminar","El pedido desaparece de la lista · El consumo actual de la mesa se reduce en el precio del plato eliminado","—",Pendiente
CP-20,Flujo completo,Ciclo completo de mesa sin interferencia entre sesiones,Verificar que una nueva sesión en la misma mesa empieza desde $0 sin acumular el consumo anterior,"Base de datos activa · Mesa y platos existentes","1. Ocupar mesa · 2. Agregar 2 pedidos · 3. Liberar mesa · 4. Volver a ocupar la mesa · 5. Agregar 1 pedido · 6. Ver consumo actual","Sesión 1: 2x Milanesa · Sesión 2: 1x Milanesa ($1500)","El consumo actual muestra $1500 (solo la sesión actual) y no $4500 (suma de ambas sesiones)","consumoActual: $1500 (solo sesión actual)",Pasó
CP-21,Usuarios,Registrar usuario nuevo,Verificar que un usuario puede registrarse correctamente,Base de datos activa,"1. Navegar a la pantalla de registro · 2. Completar el formulario · 3. Hacer clic en 'Registrarse'","Email: test@mail.com · Nombre: Test · Contraseña: 1234","Se muestra un mensaje de éxito y redirige al login o al sistema","—",Pendiente
CP-22,Usuarios,Registrar usuario con email duplicado,Verificar que no se permite registrar el mismo email dos veces,"Usuario con ese email ya registrado","1. Navegar al registro · 2. Ingresar el mismo email ya registrado · 3. Hacer clic en 'Registrarse'","Email: test@mail.com (ya existente)","Se muestra un mensaje de error: 'El email ya está registrado'","—",Pendiente
CP-23,Usuarios,Login correcto,Verificar que el usuario puede ingresar al sistema con credenciales válidas,"Usuario registrado en el sistema","1. Ir a la pantalla de login · 2. Ingresar email y contraseña correctos · 3. Hacer clic en 'Ingresar'","Email: test@mail.com · Contraseña: 1234","Se redirige al sistema y el usuario queda autenticado (nombre visible en la interfaz)","—",Pendiente
CP-24,Usuarios,Login con contraseña incorrecta,Verificar que el sistema rechaza credenciales inválidas,"Usuario registrado","1. Ir al login · 2. Ingresar email correcto y contraseña incorrecta · 3. Hacer clic en 'Ingresar'","Email: test@mail.com · Contraseña: mal","Se muestra un mensaje de error: 'Email o contraseña incorrectos'. El usuario no ingresa al sistema","—",Pendiente
CP-25,Usuarios,Login con email inexistente,Verificar que el sistema rechaza un email no registrado,Base de datos activa,"1. Ir al login · 2. Ingresar un email que no existe · 3. Hacer clic en 'Ingresar'","Email: noexiste@mail.com · Contraseña: 1234","Se muestra un mensaje de error: 'Email o contraseña incorrectos'. El usuario no ingresa al sistema","—",Pendiente
